Word	OLD20	len
mull	25.0	4
backcourt	73.0	9
satirical	66.0	9
tweak	36.0	5
vintage	45.0	7
shitfaced	76.0	9
population	50.0	10
subordination	76.0	13
embryo	57.0	6
activity	51.0	8
bounteous	67.0	9
stubborn	62.0	8
inferiority	75.0	11
neurotoxin	75.0	10
initialize	60.0	10
prophecy	57.0	8
division	49.0	8
repulse	43.0	7
disinclined	78.0	11
muscle	41.0	6
jingle	28.0	6
uniformity	72.0	10
malt	28.0	4
reprogram	60.0	9
washstand	71.0	9
establish	65.0	9
lookup	42.0	6
refractive	53.0	10
airstrip	65.0	8
partake	47.0	7
tatters	35.0	7
noncompliance	105.0	13
clip	29.0	4
jelly	34.0	5
phenomenal	79.0	10
marooned	53.0	8
forthrightness	108.0	14
inspection	53.0	10
ludicrousness	89.0	13
peevish	54.0	7
status	36.0	6
footsie	45.0	7
stimulator	52.0	10
shoestring	58.0	10
polluter	50.0	8
ladle	39.0	5
would	35.0	5
monochrome	91.0	10
writing	37.0	7
kleptomania	82.0	11
qualifier	54.0	9
hypodermic	69.0	10
insinuate	55.0	9
attractiveness	93.0	14
cling	31.0	5
trendiness	58.0	10
illegitimate	86.0	12
gallant	45.0	7
perjury	52.0	7
subterranean	116.0	12
whitish	53.0	7
wizardry	71.0	8
involvement	71.0	11
awhile	48.0	6
railing	22.0	7
teachable	54.0	9
speakeasy	73.0	9
bored	27.0	5
analyst	50.0	7
wane	20.0	4
agitation	48.0	9
racketeering	94.0	12
tambourine	76.0	10
retiree	41.0	7
disorder	56.0	8
wide	20.0	4
hubcap	57.0	6
slander	34.0	7
shot	20.0	4
troublesome	89.0	11
qualify	54.0	7
unofficial	76.0	10
impermanence	83.0	12
comfy	40.0	5
bigamy	56.0	6
instance	47.0	8
hoop	25.0	4
discombobulate	120.0	14
haywire	59.0	7
chatterbox	73.0	10
jabber	36.0	6
inordinate	65.0	10
singularity	77.0	11
wormy	35.0	5
signature	63.0	9
rodent	38.0	6
ellipsis	70.0	8
bronzed	38.0	7
diseased	47.0	8
oomph	45.0	5
sanctum	56.0	7
terrorism	55.0	9
cardiac	52.0	7
trouble	46.0	7
freakiness	54.0	10
nudeness	52.0	8
farm	28.0	4
giantess	59.0	8
misdemeanor	84.0	11
genetics	52.0	8
statistician	90.0	12
stew	27.0	4
mastermind	67.0	10
smallish	58.0	8
immigrant	67.0	9
unexciting	72.0	10
audience	57.0	8
gruel	39.0	5
emit	32.0	4
porn	25.0	4
crabmeat	68.0	8
mandate	45.0	7
advertise	52.0	9
odorant	58.0	7
firefighter	64.0	11
hightail	54.0	8
sterilize	48.0	9
curtsy	39.0	6
disengagement	84.0	13
congested	46.0	9
paleness	45.0	8
frosting	38.0	8
inability	51.0	9
grotto	40.0	6
figureless	70.0	10
motel	33.0	5
asteroid	58.0	8
frat	24.0	4
metalloid	73.0	9
payphone	58.0	8
documentarian	94.0	13
heater	27.0	6
ejaculator	59.0	10
forbearance	87.0	11
slap	23.0	4
delicatessen	91.0	12
bespectacled	89.0	12
ladybird	64.0	8
immortality	60.0	11
ultralow	80.0	8
window	42.0	6
tract	35.0	5
denim	39.0	5
denims	39.0	6
incandescence	93.0	13
rainbow	58.0	7
helicopter	77.0	10
fatheaded	56.0	9
electrician	69.0	11
powerboat	73.0	9
decryption	59.0	10
eliminate	54.0	9
dismal	48.0	6
damn	32.0	4
sonar	35.0	5
overshadow	69.0	10
daybook	57.0	7
storeroom	70.0	9
aggregate	69.0	9
edge	33.0	4
tundra	54.0	6
metabolize	56.0	10
designation	49.0	11
impose	38.0	6
anticlimax	93.0	10
crunch	35.0	6
blanket	37.0	7
visa	32.0	4
reevaluation	66.0	12
frazzle	49.0	7
astonish	56.0	8
bipartisan	83.0	10
ionosphere	82.0	10
backwoods	60.0	9
erect	38.0	5
aristocrat	85.0	10
abbreviated	80.0	11
harmonic	47.0	8
mill	20.0	4
credible	54.0	8
beltless	52.0	8
riverbed	53.0	8
unwavering	63.0	10
rooms	29.0	5
spirit	37.0	6
geriatric	66.0	9
evidence	53.0	8
biophysicist	96.0	12
treaty	38.0	6
privacy	53.0	7
superhero	66.0	9
sideshow	69.0	8
fatalism	51.0	8
hint	21.0	4
golfing	37.0	7
avoid	36.0	5
terrorize	52.0	9
sloping	35.0	7
problematic	84.0	11
lifeline	51.0	8
womenfolk	72.0	9
exhibitionist	83.0	13
clot	26.0	4
memory	49.0	6
grim	28.0	4
lisp	35.0	4
seltzer	45.0	7
cowpox	55.0	6
dramatic	46.0	8
misprint	54.0	8
unshielded	68.0	10
wry	26.0	3
graphical	65.0	9
embarrass	66.0	9
chart	33.0	5
runoff	57.0	6
moneymaking	73.0	11
poisonous	69.0	9
