,word,slice_1800,slice_1840,slice_1880,slice_1920,slice_1960,slice_2000
4406,tavern,523,1202,925,1073,832,349
4407,affable,95,173,153,219,191,65
4408,degree,5011,10680,8889,8187,8708,2507
4409,languish,171,358,318,201,232,93
4410,inquiry,1964,4524,3740,3381,2167,404
4411,anti,219,932,2377,5975,6036,1387
4412,elbow,405,1208,2216,2756,2960,1183
4413,wit,1178,2841,3254,2596,2021,506
4414,frozen,194,722,980,1291,1916,694
4415,happiness,3748,7419,5980,3872,2095,591
4416,termination,390,681,398,323,257,51
4417,quit,859,1755,2147,3585,3571,1134
4418,absolute,939,3583,3653,2684,2681,581
4419,pathetic,169,639,1293,905,827,272
4420,contamination,43,71,103,94,462,131
4421,celestial,411,891,513,429,424,142
4422,austere,101,226,336,376,375,80
4423,represent,2141,6889,10158,10837,9874,2329
4424,equitable,114,310,415,456,344,48
4425,intersection,97,82,150,355,706,294
4426,cold,4026,13827,14125,16944,18315,5667
4427,canopy,198,451,313,403,656,280
4428,abstain,177,407,282,297,244,33
4429,air,5954,21649,24198,34329,33722,9663
4430,awning,33,132,216,199,223,77
4431,sea,4771,16668,19707,17100,12556,4299
4432,rate,1608,6140,11344,18910,19694,4419
4433,spite,960,4359,6968,6075,2956,524
4434,sex,1361,2528,2979,4017,8355,3582
4435,practitioner,124,201,478,493,811,245
4436,gloom,931,2741,2063,1260,888,241
4437,atom,148,795,1432,2618,1458,283
4438,acquire,2005,4292,4277,4430,4459,1031
4439,desk,257,1697,4720,10674,10104,3033
4440,fascinating,183,714,1149,1026,1291,367
